"tweetid","user_display_name","tweet_text","clean_text","troll_or_not"
793671748726165504,"阿丽木琴","PLAYMFS: #ptl jay park biased rep yang on retweet - bangjay","PLAYMFS #ptl jay park biased rep yang on retweet bangjay",1
1294956105861345280,"CNN","Here are some of Sen. Kamala Harris' intense interrogations on Capitol Hill https://t.co/flqxOeORtU https://t.co/iMWOnR4JPC","Here are some of Sen Kamala Harris intense interrogations on Capitol Hill",0
739985813698674690,"alexwagner","Clinton very careful tonight, saying she is ""on the brink"" of a historic nomination.","Clinton very careful tonight saying she is on the brink of a historic nomination",0
1292152904091082753,"gadyepstein","@Scholars_Stage @BeijingPalmer Considering he was arguably the most powerful PBSC member, at number 9, and appears… https://t.co/Ubs7PjZMix","Considering he was arguably the most powerful PBSC member at number and appears",0
796588067167621121,"阿丽木琴","PLAYMFS: #ptl
lelang acc di pict f/t 16k/124k
acc rame👍
via tsel 300k aja yuk need fast - ruotmeo  https://t.co/oeVUcAvuw0","PLAYMFS #ptl lelang acc di pict ft 16k124k acc rame via tsel 300k aja yuk need fast ruotmeo",1
1273670480197758977,"NewYorker","On April 1st, an officer who worked at a penitentiary in southeast Arkansas tested positive for the coronavirus. By… https://t.co/SXw6niSyhJ","On April 1st an officer who worked at a penitentiary in southeast Arkansas tested positive for the coronavirus By",0
1114351612259065856,"upbeat❄️","Avicii: Love is All You Need

@feedme: Love Is All I Got

Us: We Have All The Love For You","Avicii Love is All You Need Love Is All I Got Us We Have All The Love For You",1
557081047792230400,"Boston Today","Patriots clobber Colts, charge into Super Bowl  #sports","Patriots clobber Colts charge into Super Bowl #sports",1
855642388945129476,"Klausv","MichaelTheTrain Hi there! We've just sent you a DM. We'll carry on helping out there /FR","MichaelTheTrain Hi there Weve just sent you a DM Well carry on helping out there FR",1
1240522856183656449,"austinramzy","Now that you can find masks in Hong Kong again, the latest shortage is packing material. There’s a rush to send pro… https://t.co/oPFMQyzo6S","Now that you can find masks in Hong Kong again the latest shortage is packing material Theres a rush to send pro",0
1282830923948531714,"DMRegister","""Watching my kids leave ... the only thing that you care about after they're gone is that you can see them walking… https://t.co/eDAShxvQ6p","Watching my kids leave the only thing that you care about after theyre gone is that you can see them walking",0
738857500338880514,"claydube","Rising divorce rate, must be because dress is too casual at the registration office. Beijing is on it. https://t.co/1KwLJf3y9d","Rising divorce rate must be because dress is too casual at the registration office Beijing is on it",0
542726594523959296,"14e1a141e7651bc6f288335138dcd40015f7668a96f280b01c4937ca31a2b0c6","Happy birthday to my handsome cousin many birthdays to come :)) @froyallandeguzman #happybirthday","Happy birthday to my handsome cousin many birthdays to come #happybirthday",1
1284635360253837312,"TheAtlantic","“As I write this, COVID-19 deaths in America near 140,000, a karmic mirror of the body count at Hiroshima and Nagas… https://t.co/OdCFFyAGee","As I write this COVID deaths in America near a karmic mirror of the body count at Hiroshima and Nagas",0
1287844273170214912,"RonBrownstein","Not good results for Biden w/Obama-Trump voters in this focus group, but are they the real pivot of the election? T… https://t.co/CduOScktL0","Not good results for Biden wObamaTrump voters in this focus group but are they the real pivot of the election T",0
948840960880009216,"NMN0qc8bdhLJMAPUZDuL1IIzICVeebM3ezzR+uMa7g=","Late Root &amp; Bairstow wickets derail England at SCG https://t.co/Kcvuaxif0j","Late Root amp Bairstow wickets derail England at SCG",1
511701516827496448,"744bfe3c277a12f0f05439051a74914c86458b07559988f11105b334373cb8f8","going the wrong way #awesome","going the wrong way #awesome",1
926529971870461954,"iHIh+RILI5VBKy+GW9f9xnlRG+bgHirep8asHfMy1Q=","How Disney’s new Pixar attractions will change Disneyland forever https://t.co/XcVA2Btu8o… https://t.co/wOwtDRVDBG","How Disneys new Pixar attractions will change Disneyland forever",1
682541389238919168,"080da9e6b0c293d8e7abe6115605790ec8bc9a5c75a2b3e60539e67e3f100875","Philly Mummers Parade: What to know before you go","Philly Mummers Parade What to know before you go",1
1044640544977285120,"kaifulee","Predicting the end of our #AI story is difficult because it isn’t just a story about machines. It’s also a story ab… https://t.co/wwJab0CFTh","Predicting the end of our #AI story is difficult because it isnt just a story about machines Its also a story ab",0
785151167483547648,"阿丽木琴","PLAYMFS: #ptl mtan? joicber","PLAYMFS #ptl mtan joicber",1
1076097290400657408,"weijia","No Christmas compromise = No Florida vaca for the President. He was supposed to leave this afternoon, but it’s not… https://t.co/5dBgdfIewh","No Christmas compromise No Florida vaca for the President He was supposed to leave this afternoon but its not",0
4298318085,"D","RT @sallyppeterson: Choose a job you love, and you will never have to work a day in your life. ~ Confucius #quotes","RT Choose a job you love and you will never have to work a day in your life Confucius #quotes",1
969487861077684224,"曲剑明","＠null It is 09:17 CET now","null It is CET now",1
1271496426229501959,"chenchenzh","The child tests negative for both the virus and antibodies. 48 people from their school are asked to self isolate a… https://t.co/JAKRhKGsVE","The child tests negative for both the virus and antibodies people from their school are asked to self isolate a",0
500523859884666880,"fe36814d91c603bdd794327a26800e8a69da1eb0c49e74c627c3742615fba7a4","as for me what the hell is going on","as for me what the hell is going on",1
543787953466925056,"5048565777ba6afc0fa9bbed159621e058b7e8cf17afb017ffa199798dccd9f3","Фотосет: ""They taught me that you can do quality work and have fun at the same time. It’s a novel... #КискаИзВладика","Фотосет They taught me that you can do quality work and have fun at the same time Its a novel #КискаИзВладика",1
737952722771529729,"Room Of Rumor","EU plans to update, accelerate setting of service standards  #tech","EU plans to update accelerate setting of service standards #tech",1
1302362117543268352,"WSJ","Campbell Soup’s sales have surged during the pandemic, but it still needs to prove it can use the crisis to spark a… https://t.co/9uV5BL62d0","Campbell Soups sales have surged during the pandemic but it still needs to prove it can use the crisis to spark a",0
1278856231566761986,"JChengWSJ","Stock investors are loving Beijing's new tightened grip on Hong Kong. “Investors prefer stability over uncertainty.… https://t.co/Xs8QC1CmgA","Stock investors are loving Beijings new tightened grip on Hong Kong Investors prefer stability over uncertainty",0
1077181689032593408,"Liz_Cheney","Must Read: “Trump’s abrupt decision” has already led to “a revitalized terrorist adversary.” American withdrawal fr… https://t.co/BJFcTyR7q1","Must Read Trumps abrupt decision has already led to a revitalized terrorist adversary American withdrawal fr",0
817559940118302720,"阿丽木琴","WORLDERPE: #WTL you see the girl in the middle of the hectic? She knows in this game, heart never really matters","WORLDERPE #WTL you see the girl in the middle of the hectic She knows in this game heart never really matters",1
1212433694411165701,"fravel","Reposting my 2016 piece that examines China’s historic rights claim inside Indonesia’s EEZ https://t.co/d0bCE2ZzZh https://t.co/HRDoYD1aBo","Reposting my piece that examines Chinas historic rights claim inside Indonesias EEZ",0
634512842977357824,"5pV0hiEhK4LdI9wFDn39o3vq7N3XHS3PcUbpDt9RFs=","It Was a Hell Storm Up Here: 3 Firefighters Die in Washington Wildfire","It Was a Hell Storm Up Here Firefighters Die in Washington Wildfire",1
864431060616183808,"春天里",": #rtl I'm looking for my baby girl, May J noona. hahah https://t.co/IP96mIsXmi","#rtl Im looking for my baby girl May J noona hahah",1
859253598986698752,"iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","Let's get #BoycottFoxNews trending!  @EricBolling @FoxNews #MAGA #FakeNews #FakeMedia","Lets get #BoycottFoxNews trending #MAGA #FakeNews #FakeMedia",1
1296882034909106181,"washingtonpost","NBC Sports analyst is sorry for saying NHL players are lucky not to have women distracting them https://t.co/bMRFojv8Lq","NBC Sports analyst is sorry for saying NHL players are lucky not to have women distracting them",0
1259203503861321729,"ruima","One very popular Bilibili creator Xudasao recently had a PR crisis (his name was cleared) but in researching this I… https://t.co/K6JTa6JUf9","One very popular Bilibili creator Xudasao recently had a PR crisis his name was cleared but in researching this I",0
744832718765076480,"Screamy Monkey","North Korea says not to free U.S. citizens until former detainee stops 'babbling'  #world #news","North Korea says not to free US citizens until former detainee stops babbling #world #news",1
1166613163380551681,"Yaqiu","@jgriffiths @lilkuo @annafifield @amyyqin when you have embarrassing socks that have holes on?","when you have embarrassing socks that have holes on",0
763648814372782081,"ChinaRealTime","Tesla's Autopilot scrapes up against its Chinese translation
https://t.co/bxfIb9or00 🔓 https://t.co/72D9LvIb9m","Teslas Autopilot scrapes up against its Chinese translation",0
1224749715864084481,"megynkelly","It’s possible the Pelosi strategy isn’t working out so well. https://t.co/HMf82j310l","Its possible the Pelosi strategy isnt working out so well",0
411993454122520576,"依萍","RT @mitchellhirsch: A Conservative Argues For Extending Unemployment Benefits http://t.co/2VpKOMUyUE #LibCrib #UniteBlue #Obama  #democrats","RT A Conservative Argues For Extending Unemployment Benefits #LibCrib #UniteBlue #Obama #democrats",1
1259724072306397185,"CarlMinzner","(17/x) People have been doing it with bumper stickers, hats, and T-shirts for years.  Just do it with face masks now.","x People have been doing it with bumper stickers hats and Tshirts for years Just do it with face masks now",0
1254698051060535296,"ChinaRealTime","A forgotten pandemic. Bedridden workforces. Over 1 million dead. The Hong Kong flu of the 1960s showed what can hap… https://t.co/pSg8LXnxFM","A forgotten pandemic Bedridden workforces Over million dead The Hong Kong flu of the 1960s showed what can hap",0
502086154796412930,"28decfccddd84f67c4f47019afb636ad3d347a32482811038478ff8b09e345ba","I've tried a hundred ways to forget you  #love","Ive tried a hundred ways to forget you #love",1
531329953887838208,"akaDashan","Spent past 2 days with Chairman of Alibaba, PM of Canada &amp; Governor of People's Bank of China, and have nothing to Tweet. #JustDroppingNames","Spent past days with Chairman of Alibaba PM of Canada amp Governor of Peoples Bank of China and have nothing to Tweet #JustDroppingNames",0
578215248177422338,"ec8cba6706e1e76202837b207212e409d788dedfa55eae8e76d845bc1d445f26","Let no man pull you so low as to hate him.  – Martin Luther King Jr.","Let no man pull you so low as to hate him Martin Luther King Jr",1
1298787814843101184,"CNN","“Very soon it’s going to get to a point where ... the desire will absolutely be there from our public safety and la… https://t.co/NQZEQoubLU","Very soon its going to get to a point where the desire will absolutely be there from our public safety and la",0
1233889894633758720,"PeteButtigieg","We can beat this president without burning our party down. We can beat this president without anyone buying our par… https://t.co/d1xsXv2NUp","We can beat this president without burning our party down We can beat this president without anyone buying our par",0
507492365364240385,"2655a4de453d79c31bb290b656e84419fd2ed887d39d6be3d36de6eb63e64dbb","The first duty of a man is the seeking after and the investigation of truth.","The first duty of a man is the seeking after and the investigation of truth",1
734387010765361152,"Pittsburgh Today","Group announces new development plans for Strip District  #local","Group announces new development plans for Strip District #local",1
1298317274349219846,"STcom","Spanish actor Antonio Banderas 'cured' of coronavirus https://t.co/VPBA3duBqb","Spanish actor Antonio Banderas cured of coronavirus",0
962361634290372608,"JvumYq2ApxkjeGY7caKWXJ9XIUlwxFcsCEUIkpBn8Bg=","Tottenham 1-0 Arsenal: Pochettino proud of 'fantastic' Spurs https://t.co/5jEdfnDbDQ","Tottenham Arsenal Pochettino proud of fantastic Spurs",1
697846583631609856,"7d87a814b4c26497e4e7a13047bc7f52452cb2566a939f1f250ae0286a4bae59","Why is the night running away?","Why is the night running away",1
1301290240385060865,"RealSexyCyborg","@lagweezle Haha if I'm playing with her I'll put pants on. I keep her nails filed but my skin scratches really easi… https://t.co/MX2uDBn9it","Haha if Im playing with her Ill put pants on I keep her nails filed but my skin scratches really easi",0
946918188322820097,"rjNejV4I6ASDG9aR8YqvQLHuMQ3Vbpvrzu2k2r57D2o=","What major airlines are doing to compete with super-cheap carriers https://t.co/PpSrsv3a2j… https://t.co/DhzWGeTWxa","What major airlines are doing to compete with supercheap carriers",1
964277570429693952,"曲剑明","＠null It is 00:16 CET now","null It is CET now",1
617007813571665924,"KansasCityDailyNews","#news Alligator kills 28-year-old Texas man during late-night swim","#news Alligator kills yearold Texas man during latenight swim",1
854998135395016704,"Jenna Abrams","If rioters weren't ignored but arrested, @AnnCoulter could speak at Berkeley https://t.co/Znu3x5DLH2","If rioters weren not ignored but arrested could speak at Berkeley",1
1301976945563967493,"SCMPNews","Pentagon chief defends Trump after he reportedly called dead US troops  ‘losers’ https://t.co/P1MR3hrkhO","Pentagon chief defends Trump after he reportedly called dead US troops losers",0
1060324777422929920,"SenSanders","Apply for spring internships in Senator Sanders' Vermont and Washington DC offices. The deadline to apply is Nov. 1… https://t.co/Lt9SN6Rrn1","Apply for spring internships in Senator Sanders Vermont and Washington DC offices The deadline to apply is Nov",0
558817491544047616,"New Orleans Online","Joan Hartman guilty of manslaughter in son's fiancee's stabbing death, jury finds  #news","Joan Hartman guilty of manslaughter in sons fiancees stabbing death jury finds #news",1
551708774948286464,"d6c31acc30e631882e289675ae7f704f885c4e9c9d81d7cc54ab65514c14d510","#Nukraine #Fukushima2015 Ukraine spent New Year without power. stupid asf","#Nukraine #Fukushima2015 Ukraine spent New Year without power stupid asf",1
410555399595884544,"claydube","Minxin Pei -- yes, US coverage of China is unfavorable, but is it biased? 10 min talk @uscannenberg http://t.co/VDdUuesW8h","Minxin Pei yes US coverage of China is unfavorable but is it biased min talk",0
578415227412357120,"derrickmc","Sexy naked women and nude girls, Hot Naked Chicks Show Their Boobs And Pussy 254 Hot Janis… http://t.co/EJeHTY1TB2 http://t.co/yd6Lm9zIzr","Sexy naked women and nude girls Hot Naked Chicks Show Their Boobs And Pussy Hot Janis",1
1294339697901285380,"Toure","There were no pancakes after I played basketball with Prince but we did walk together through a huge hanger where a… https://t.co/lVSvV6jzzi","There were no pancakes after I played basketball with Prince but we did walk together through a huge hanger where a",0
1237709020129001472,"meifongwriter","@panphil Adding to the fumbles over vaccines &amp; tests, low-tech fumbles like emails. EMAILS. https://t.co/Z6fxrzxrkV","Adding to the fumbles over vaccines amp tests lowtech fumbles like emails EMAILS",0
1187691746186219521,"jmulvenon","@Viking_Sec Could have used some editorial pruning but the most gobsmacking book I have read In years.","Could have used some editorial pruning but the most gobsmacking book I have read In years",0
1273697460720934913,"voxdotcom","HBO's Watchmen TV series will be available for free this weekend.

Watchmen rocked the comic book industry when it… https://t.co/gTgWWcIhPQ","HBOs Watchmen TV series will be available for free this weekend Watchmen rocked the comic book industry when it",0
1249242070167896066,"anthonytao","Liane and I are going live on Facebook in 8 minutes (3:51 pm China time) to unveil what we've been working on… https://t.co/nXRr77CeNG","Liane and I are going live on Facebook in minutes pm China time to unveil what weve been working on",0
1260762993505132544,"teamlipei","China's Tencent reaps revenue of lockdown gaming boom https://t.co/x9miyujjvD","Chinas Tencent reaps revenue of lockdown gaming boom",0
712352710079610880,"e9e55093f99066a1802191d1dd7e43661a118501b7e0ed75cee9cb7803709ae6","#IslamKills #PrayForBrussels my thoughts and prayers go out to all the families affected by this #Brussels","#IslamKills #PrayForBrussels my thoughts and prayers go out to all the families affected by this #Brussels",1
712624577696759808,"Screamy Monkey","More aid agencies pull out of Greek camps, spurning EU deal  #world #news","More aid agencies pull out of Greek camps spurning EU deal #world #news",1
1186235935110959104,"KamalaHarris","Native Americans were here first. 

Our nation has failed to fulfill our obligations to Tribal Nations. Today, I re… https://t.co/qfz9zvUwzV","Native Americans were here first Our nation has failed to fulfill our obligations to Tribal Nations Today I re",0
814402477701337088,"阿丽木琴","WORLDERPE: #WTL how does it feel, can't stalking my profile anymore? Lol","WORLDERPE #WTL how does it feel can not stalking my profile anymore Lol",1
846458395058065408,"Klausv","makingyourDAYna How fun! Until then we'll make the distance feel a bit smaller!","makingyourDAYna How fun Until then well make the distance feel a bit smaller",1
1299557401776074754,"MSNBC","Analysis: To make his argument for re-election, the president can't admit that he's in power right now — and the he… https://t.co/bCBE221KsV","Analysis To make his argument for reelection the president can not admit that hes in power right now and the he",0
1300366998061416449,"business","Italy reports a record-large slump in its economy https://t.co/lQLz0AuIIq https://t.co/DERZxcWHQl","Italy reports a recordlarge slump in its economy",0
1060234323427651584,"billmaher","Could ONE reporter ONE time say to Trump when he complains the press is negative and hostile (as he's doing right n… https://t.co/EsM7VvVxgY","Could ONE reporter ONE time say to Trump when he complains the press is negative and hostile as hes doing right n",0
1278205192932999168,"vshih2","Southwest corner of campus? https://t.co/5e9CpZGTWd","Southwest corner of campus",0
499440972418539520,"993de2d5b1be2ccc31c54d830d5ffd2c6de2e3d53059a1956b7c5b62c5dfa442","Sometimes it's more easier to smile even if you're hurting inside, than to explain to the whole world why you're sad.","Sometimes its more easier to smile even if youre hurting inside than to explain to the whole world why youre sad",1
732758802676748288,"ChinaRealTime","Video: Apple Chief Executive Tim Cook's Asia visit https://t.co/XqaJTZ0aKW https://t.co/VszLCsj6bh","Video Apple Chief Executive Tim Cooks Asia visit",0
1257021762602184705,"JoeBiden","Trump deflects legitimate questions with attacks. He bullies members of the press, instead of taking responsibility… https://t.co/pbacy9tsub","Trump deflects legitimate questions with attacks He bullies members of the press instead of taking responsibility",0
1215419269594267648,"ezraklein","The new Fox News poll of South Carolina asked Democrats whether they want a candidate who will ""restore the politic… https://t.co/9tKFmui6eI","The new Fox News poll of South Carolina asked Democrats whether they want a candidate who will restore the politic",0
1288839774946525187,"DRechts","Beijing University actually shut down it's Marxism society in 2018 after they tried to organize a trade union at a… https://t.co/8X0dQ7Z1VI","Beijing University actually shut down its Marxism society in after they tried to organize a trade union at a",0
1301233195015258112,"ChannelNewsAsia","White House's Birx denies COVID-19 'herd immunity' policy under consideration https://t.co/IzxQk51xMa https://t.co/MbGK70teZP","White Houses Birx denies COVID herd immunity policy under consideration",0
1293711617138593792,"CNN","South Dakota special education teacher Lizzie Hansen says masks are expected but not required in her schools, and s… https://t.co/7HJSldDgTu","South Dakota special education teacher Lizzie Hansen says masks are expected but not required in her schools and s",0
492810035484172288,"85a64191a1ee05b842efad9fa0bc0933ab2fa89569521a894f5434aee74c03c7","Even the most courageous among us only rarely has the courage to face what he already knows.","Even the most courageous among us only rarely has the courage to face what he already knows",1
638358677498413056,"Pittsburgh Today","Report: Steelers Trade For Jaguar’s Kicker Josh Scobee  #news","Report Steelers Trade For Jaguars Kicker Josh Scobee #news",1
961629261290463232,"曲剑明","＠null It is 16:51 CET now","null It is CET now",1
1225422689109716992,"meifongwriter","@annafifield @MaraHvistendahl @NewAmerica @SlaughterAM @jorge_guajardo Also linked to racism.. #YellowPeril stay sa… https://t.co/PVIJzsrCbU","Also linked to racism #YellowPeril stay sa",0
1254628292293873664,"ReutersChina","Starbucks says in partnership with Sequoia Capital China for investments  https://t.co/LKQZHWhZgr","Starbucks says in partnership with Sequoia Capital China for investments",0
1284505251387670528,"TheAtlantic","""Nonmembers who flout tribal stay-at-home orders could pose an existential threat to tribal communities,"" Matthew L… https://t.co/JlHC93DH8Z","Nonmembers who flout tribal stayathome orders could pose an existential threat to tribal communities Matthew L",0
1298032340577509382,"WSJ","Some think  the U.S. dollar is losing global dominance, but the coronavirus pandemic has proven how vital it remain… https://t.co/HAfeSL3A6Z","Some think the US dollar is losing global dominance but the coronavirus pandemic has proven how vital it remain",0
1064343068307058694,"DRechts","Bodes well for the Trump-Xi G20 meeting https://t.co/VFaww14fcH","Bodes well for the TrumpXi G20 meeting",0
1156471086596313088,"aliceysu","Looks like China didn't need those aesthetics anyway, though, given how many Islamic countries signed open letter b… https://t.co/5HVEe1WlYx","Looks like China didn not need those aesthetics anyway though given how many Islamic countries signed open letter b",0
796205491332542464,"megynkelly","Electoral vote count: @realDonaldTrump leads @HillaryClinton 222 to 202. Stay tuned to Fox News Channel for coverag… https://t.co/svbGmmfnjO","Electoral vote count leads to Stay tuned to Fox News Channel for coverag",0
1301992954978955264,"ChannelNewsAsia","Wall Street ends lower as Nasdaq rout persists https://t.co/bstQzCMbzL https://t.co/EDtmPum7cR","Wall Street ends lower as Nasdaq rout persists",0
1283428011593789440,"onlyyoontv","No time to blink!👀 #China summons US ambassador @TerryBranstad to protest act &amp; EO on #HongKong. Vice Foreign Minis… https://t.co/cJvlM82lmc","No time to blink #China summons US ambassador to protest act amp EO on #HongKong Vice Foreign Minis",0
537550285485252608,"ea85ac8be1e8ab479064ca4c0fe3ac6587f76b1ef974526887856fe299d3f2c0","You can bank on it!  #rap","You can bank on it #rap",1
691628593571495937,"Dominic Valentine","#ItsSoWhiteOutsideThat all the streets can become officers now","#ItsSoWhiteOutsideThat all the streets can become officers now",1
1283228759701762053,"JamesFallows","@jorge_guajardo Jorge, I know that the “I love Hispanics!” line in the Cinco de Mayo tribute was particularly meaningful to you.","Jorge I know that the I love Hispanics line in the Cinco de Mayo tribute was particularly meaningful to you",0
1262962656790474752,"hebeipangzai","If I care about this money, I would have asked you to continue send me profits for T-shirts sold in my name. Why do… https://t.co/u4THqmzR6M","If I care about this money I would have asked you to continue send me profits for Tshirts sold in my name Why do",0
711093331258961920,"Warfare Worldwide","@WarfareWW Nxt-gen Russian nuclear subs use composite structures to reduce acoust.signatures https://t.co/gBPuiPPl34 https://t.co/tmT48ptnke","Nxtgen Russian nuclear subs use composite structures to reduce acoustsignatures",1
1285966852477378561,"IngrahamAngle","This is a must-watch from @AlexBerenson &amp; @kerpen, who expose how election year politics warps the truth about Covi… https://t.co/GUwzXDDit4","This is a mustwatch from amp who expose how election year politics warps the truth about Covi",0
1299188206370467842,"latimes","S&amp;P 500 ticks up as 'era of easy money' looks set to last https://t.co/74rMoVWUR3","SampP ticks up as era of easy money looks set to last",0
1253368699354001408,"KaiserKuo","@rzhongnotes The struggalo is real.","The struggalo is real",0
578535164055142401,"c465bceee4e65cc392661fafdecabc98450eb1f0b67e66a5a0d69be631f34ca5","https://t.co/QZ861uWue0 snow is a real danger!","snow is a real danger",1
1296629029160865792,"nytimes","Watch Gov. Gavin Newsom of California call for action on climate change at the #DemConvention. ""This is not where I… https://t.co/9w01vN0rlv","Watch Gov Gavin Newsom of California call for action on climate change at the #DemConvention This is not where I",0
559756509316280320,"c5759f11a98fb079b4470d6a04c13ece439cee7649b92c9ac5f417a4be04fa5e","I crash, I burn, you leave, I hurt, like clockwork. #EastonCorbin","I crash I burn you leave I hurt like clockwork #EastonCorbin",1
818063267759329280,"阿丽木琴","WORLDERPE: #wtl can someone teach me how to type cutely, im such a bland person","WORLDERPE #wtl can someone teach me how to type cutely im such a bland person",1
493506626473963521,"75146e79e40c32b350e71225c2792acdb92fcf1ae940ee16e0327a53aabd952a","if i had a dollar for everytime someone called me ugly id be broke cause im perfect lol later losers #USA","if i had a dollar for everytime someone called me ugly id be broke cause im perfect lol later losers #USA",1
733338537500647424,"San Jose Daily","#sports Muirfield would rather not host British Open than admit women as members","#sports Muirfield would rather not host British Open than admit women as members",1
570076107787014144,"Chao_Deng","Smart trading...for those who seldom trade http://t.co/zqdj7qTQcO via @WSJMoneyBeat","Smart tradingfor those who seldom trade via WSJMoneyBeat",0
951627399363551232,"Kanisha J","Dear world,   We apologize for our #ShitholePresident. He doesn't speak for us. The vast majority of Americans are embarrassed by the things this racist POS says.","Dear world We apologize for our #ShitholePresident He doesn not speak for us The vast majority of Americans are embarrassed by the things this racist POS says",1
859645681346256896,"Politweecs","Intel on 'imminent threat' drove airline electronics ban, top lawmaker says https://t.co/oMv9tZRGbc","Intel on imminent threat drove airline electronics ban top lawmaker says",1
1187535496156569601,"davidpaulk","alas, the impostor @carrielam_hksar Twitter account was not long for this world https://t.co/X8UcPLVdMg https://t.co/p4EaYmUulF","alas the impostor Twitter account was not long for this world",0
823001563253932032,"Miami Today","Hundreds attend Women's March in Brevard https://t.co/79QzcYSKoz https://t.co/djFChmEhtj","Hundreds attend Womens March in Brevard",1
1292150792380723200,"BeijingPalmer","@Scholars_Stage anyway you know my theory that the critical inflection point is the box office failure of Lei Feng movies","anyway you know my theory that the critical inflection point is the box office failure of Lei Feng movies",0
1283925095824666624,"TheAtlantic","The grim effects of Trump’s wayward whims have turned Americans into a nation of armchair psychologists, struggling… https://t.co/uKVkDghBfF","The grim effects of Trumps wayward whims have turned Americans into a nation of armchair psychologists struggling",0
1275339211038773248,"CDT","CDT Daily News Updates 06/23/2020 - https://t.co/RlELQp4k3G","CDT Daily News Updates",0
981262947921092608,"vWS007fQSNcCF+66Ty1xazu6I5321dEAJPej+bDnE70=","Ice hockey: Britain beat Mexico in World Championship Division II Group A https://t.co/4nRSf9fXpK","Ice hockey Britain beat Mexico in World Championship Division II Group A",1
851543425568690176,"Klausv","iownpants We think wearing a long sleeve and fake hand would work.","iownpants We think wearing a long sleeve and fake hand would work",1
2615483706,"aubs","RT @1txsage1957: RT @GreenNation: New Blog Article ""Save Water and Grow Healthy Plants"" http://bit.ly/19Vmol","RT RT New Blog Article Save Water and Grow Healthy Plants",1
712396968601919488,"Pittsburgh Today","Local musician/songwriter and photographer produce 'The Pittsburgh Song'  #entertainment","Local musiciansongwriter and photographer produce The Pittsburgh Song #entertainment",1
