response,context,context/0,context/1,context/2,context/3,context/4,context/5
Wat is smth My paper at on mon C how lah,Hee I kaypoh meh I thought both of us also e kaypoh type Like dat i dun ask lor,ll be bit late,Coming over rite now abt min,Ok Haiz still havent finish revising This week really very tiring,Not bad lah but dun have time to study everything so some qns leave blank Wat u doing now Now raining very heavy,Now den reach library Got to endure for another days,Just now in e canteen I got battles in one week now at least half dead liao
I tink still can cancel leh got the cancel button there so u wanna cancel,Haha just go lo for the point lol it is straight after ur classanyway eh somewhere in punggol I also dunno lol got sheng siongone haha dunno u can treat me tml drink haha hao arh Wherede buffet lol,No lah just now also too late le lol pass 5pm le haha just go eatthose zhi char de noodles they order dry hor fun mee goreng all thoseNomnomnom Wa then wo bu shi chi ruan fan lol,Haha ya eh later I go back help u see if still can cancel or notcos I rmb must be hour before eh lol I try see if got anyother slot that suit ur time table later wa Can I rob u lol,Anyway help u sign up back that one le left slot only u dun wantthen cancel when near more kiasu abit lol I scare u not enuffresearch point,Lol I knew it U cancelled wrongly lah that one is match Tue dethat DECIMAL to That one is I told u not much slot left lesign up for Tue de slot u say ok de,Lol no lo is to DECIMAL I just login and check one Which oneu cancelled sia I tink u cancelled wrong one is it Lol,Ic lol so ke lian T T hmmm tempting lol shld be ok I normallyalso din go for Tue lec le lol it is at biz some experimentallab
Haha no la I asked whether I can take Haha ohh no later got fartlegagain my goodness just die Sleep sleep,Apparently help us in passing hahaha i m going to see if I can take one,Haha okay LOL mine will be like that too Wow there s alot of size3 bballs in the cp room Super cute,Haha have fun D very cool all nobellians in the cp room except forone faradian,Sorry the bus broke down so I ll be late,Yeah I return liao sorry,Oh no I came out of the house alr then I forgot to bring yourbooties What time will you be in sch on fri Sorry sorry,goodnight keep falling asleep haha
Me having brunch lor Then xy depends on whether her mum got buy a not,No la Dun have any cute ones sad Gee K nitez,Where got domain la Cannot even connect,Rain u busy nw Y so quiet Speak up,PICK UR FONE UP NOW U DUMB,m in my room Later when you are done you call me I meet you at central library,m not cuttin short hair Juz wonderin if shld try short fringe lor,Joey Hai ryan care intro
will hugs reach home le let me know,gd gd sayang u la kiss u,lg got train ma,think i didn t get ur email u mailed to where,okie just bathe out kiss u,kk thanks i just added u,Then if i see the same one i buy hor,so the one u lost is it waterproof enuf must b black watch or any colour
Set I prefer javelin though,Lol nvr le Is wat kinda competition,How For wat de,Hmmm Can la jus give ur best for the tickets,Can one Girls confirm slower,Jus sacrifice many kg dollars worth of ticket,Who BTW nid do wad,But got teams can win le Our group win how many tickets denthe rest date cost la
Eh ok confirm Saturday ah lol I in school and fone dying liao,Lol really ah actually just talk abt the system u all have either got outsource or u got develop for other department or wat sure got things to geng write story de mah lol,Lol then u where got free sia Saturday nite or Sunday afternoon sibo,Lol then hmm eh Saturday or sunday,Oh ya eh Friday u free not dinner and maybe play some balls after tat oso can,Woot I sent u the questions liao haha got parts one is for vendors is for clients ur job is client de rite actually if u wan talk abt vendor stuff oso can lol,The off day is tmr leh can schedule so last min,Ehhh nv say when u wan meet leh u when free this wk
Ok sweett I love u too,Ok sweett I love u too,On train le bblp,Yei yei I go slp le Tml call u up Muuua ks,Hee ongoing Dont go hom so late sweety,I loooooooooooove u so so much my baobei,Ok marsling le At head today,On bus le My sprinting nt bad
Joey Yup where u fr,Hey U thai p ple r suxs No manners at all So boring,Hey Send me the photo page,ve got no lect tmr leh But i may go to sch la cos my sis is goin,I have got another similar laptop here that could let u utilise and move the data that u need backing up to my documents folder before the back up File size 142mb Remember to bring the invoice thanks,Hello i am back Just got back last night Looking forward to seeing ya all Will call u soon Elaine,we just come out from turf club both of is made each,I hang all my earrings one
Hee Orh Baobao u,Home le bao bao bei bei,Yay Ok I go there now,Wa That was very effucient,Lg wait at bus stop outside the np mac,Lg reaching clementi statuon Hee Kiss u I reach yishun le yell u,They just went to buy,Still at talk dearie
Lol I taking mis this sem leh hahaha,Ahhh sillier Sunday cannoottt meeting client abt coding some iPhone app,Hahahaaa yawn hungry and slpy,Lol sia where got,Dots east side like Seng kang or hougang wat,O o y north side lol sounds far,Dunno u got lesson later ah or eat in east side lo,Eh later go eat leh lol
good la more than half done rem to drink water,ya he told me abt some of them so i was expecting some ugly looksfrom them so plastic seems better than ugly looks but nvm u onlysee them once a yr so no need stress liao the docs u preparefinish,yesterday was better than i expected if dun count those interesting events n ur irritating nephews most of them still quitefriendly,this kind of administration stuff very tiring rite but after that uthink of the house then can happier abit,wa busy until forget abt me sobz selection of flat also need docs,eh now doing some homework u,haha ya not bad his songs quite nice happy new year,haha thanks happy new year to u too all the best in ur studies nevrrything else too
Pig got see my last msg,P haha Ohh ps I didn t know my phone will auto disconnect when itturn off I went to brush teeth,Yeah I guess she forgot to give us,D Going sitex today wahahaha,Haha chibi fell asleep Waking up soon for db,Okay yeap sleeping You,Haha okay you sound like sophie gan P about the staying fit part Pand the dun want play part sounds like me during comp XD,Okay haha why dun want go Not fun meh Haha okay okay you rmb todo reflections k I think I will finish up mine tmr P
Hey watching movie alone At orchard,ll tell u when we hav a bare,Hi any1 wan chat please intro girl or boy n how old,Yupz On sat Kaiez Cya,We at clementi then we go pick u now go eat Ben not coming,Joey r u fr india,Hey yijue how are u getting there later We are meeting at orchard mrt,hahaha hey MERINA is my name ok female where r u now JORDAN malay
Hmmm Shld b lor I go bk check newspaper,Hmmm Can watch wu jian dao Others oso can la c which ur prefer,Hey pple Do ur wana watch movie tonite,m in science faculty lor So wat do ya have to do as an armour tech,Dunno leh Ur feel lk eatin wat Hmmm geylang Can eat beef kway teow and frog porridge,Oh Okie but y muz mail to e lecturer oso,Hey E folder in e workbin is closed so how r we supposed to submit,Ya help me thank ur mum hor Gee e brownie very nice oso
yeah lor like it a lot,wah the movie very good hor very funny leh,okie i might be late also what u also must wait ah dun get angry ah,okie i might be a bit late though pls be patient k,okie done we shall meet 7pm at dg k,dun mention it i will tell u the meeting time when i settle the stuffs k wait for my msg,hahah lalalala thanx man,okie lah bo bian also who ask me jioed the wrong person out
I miss u alr Mug mug,Satay On lo hre,Yup eat fulllll lo,On train le dearie,U so naughty make me miss u one whole day,Where is my yeitwo Kisses for u,I love u too dear,Lp I go all le Muacks
Haha I slept at the end of phys Haha good for you So how was yourpersonal statement I m going for duty now Ehh no you still can tpoke it,Check email and fb Haha phys no exam bio got Oh no don t tell meI count wrongly I got chem hons too,Haha I saw the one the duck follow the human all over the place de,Haha I dun really care le Yup ace LOL you walked past Slaphahahahaha my fringe really to long I gave up on one question haha ohwell Sleep until v shiok,Haha yeah haha yay Um i m the chaperone so I just take peopledown to vote,Kong bak pao Kourou bao in chinese I think Haha wow damn nice Ican leave early if I finish fast yay then report for my duty for SCx x,Haha yeah its my second fav pao P,Haha okay P I eat le Oh no growing fat
Ahhh I taking bus to whitley sec,Oh ok then Jianye will be home by,Seems like nobody else gg early lol A bit extra sia,Six I guess you,Btw why did you ask me to go bugis if you were gonna have dinner athome anyway,Merry xmas to you too D,Was almost at bus stop Ur mum cooked ah Go nex lehhh,Oh come on I m already out jeez You eaten
Ehhs sorry I just got this _ Can leave aft I finish folding myclothes sorry,Ohh Hahaha I don t know can book it you want,Haha yeah dun need P haha shouldn t you practice until super well,Hello bring dish washing liquid down when you come D,Haha ooo no more aircon Hahaha wensin came to cook laksa,Yay Good that you re not late,Haha okay not late today right,Haha my friends chatting here I shall just chat awhile
Good General Cheng already fell in in his bed already,Okay We got mission Shall call it missiontake correction tape and cancel name on smo list for confidentialpurpose Will brief u later,U Failed the test Now truly demoted to kernel,Kernel soh when will u be at hostel,Hey do u still have cue cards,Lol no need la,Hey check ur email I jus sent the distribution of slides Thks,Hey check ur email I jus sent the distribution of slides Thks
hi ppl let s meet com2,yo we meeting at com2 is it,com2 her room where u,hee kiss my yeiyei win more my laogong,where u wat time wan fetch u,heeeee i love u too dear u gt watch tv now,hello name enjoy ur 2nd day at work,hahha but atleast gt more free time waiting for ur nxt lecture
Shld be okay If I m late u all can start first anyway U tell therest lor I not in dl,Eh don t 4get to bring the for megaupload tml so that I can passto yuhui DECIMAL,Among us u r the earliest already Tell u slp in dl already nearer U can drive back to school tml night and sleep,Oh ok Scared it will be darn boring,Eh sat u wanna meet what time The biobiz thing supposedly until 2pmat chervons So see u set a timing lor Pc cluster open till only onsat if need be maybe of us can bring laptop,Tml morning tennis ok,Yo sat is supposedly until what time ah,Tml morning need to come early to prepare anything for launch If notI ll come at or le
Haha yei yei Figuring out minimax alg with alpha beta pruning,I lub u my yei yei today so happy hee,Movies screening of inception happening today,Ok dearest darling muacks,Reach home le darling,darling yyei go slp le Misd u noe kiss u tml,Dear u rech home le,Hee justtot of msg u Go safe sweety Love my mum mum
Haha nice I can leave soon Just let me pass vivian clannad Hahayeah need to get for my dad Hmm is ok de la my dad doesn t reallymind I think he s like me dun really bother about bday de Haha yupI m back le Hahaha yes but I dunno who s going retro,Haha no no just going to get a plain one to draw for my dad Hahahaobviously it s not me I dun say that Haha the theme is retrobro,Hi Ziyi We have your qualified scientist form when will you becoming can contact tenghiang vivian or me,Haha I dunno leh hope it won t be weird then I should get the bigsquare specs Hahaha yeah hilda is quite crazy I saw what she said toyou last night LOL were you creeped out by her Hahaha yeah but Ican go with hilda tay instead Later I need to buy tshirt,Hilda tay haha I wanted to ask you But it might be abit weirdhahaha coz I m going to shop for stuff to wear Idm At first when youdescribed the clothes I thought you were referring to lewis Hahahaweird YEAH RAINBOW DDDDDDDDDDDDD won t it be super cool D,Jyjy Haha what he wearing I m going to get colour extensions tmr,Huh omg jyjy Must get all your acts together Haha hug V,Ehh Must have someone wake everyone up D haha why music screwed up Hope the actual will be great Hahaha how to wear Inside cold
ya all core consulting dunno yet i need to checl my moduleplanning bt my com nt wif me nw haha y u drpp soa,i gt proj management soa principles of information security service systems gt more i forgot which haha,hmm u nv reply me nw peak period,reach home le dear hee jus wan to baobao u more,oo ok thot i found something nice take a rest dear,love u too dear u get home safe too i on bus le jus nw saw somesoft soft slippers got offer ur mama still wan more,oo u all eat already wan anything,now coming back le u at home or outside
Lol paisey yday do tutorial then doze off lol how the cut video thing lol,cos wait bo bus and we are group lol,Lol cham wait no bus if must start then I think u present already lol,Lol ya happy cny too u must eat moreeee so after tat can burn away doing ipt lol,Lol super bad influence sia keep asking me skip lol,Lol super lazy hahaha u shd go exercise urself at home or park lol,Hahahhaha I think oso is got la feb sounds late haha,Lol u say got time then dun go ok wat haha
K go Tamp gym,I see bout it Probably can D,Can swim is relax one wat Can wash sweat,Redbull gives wings hmmm nxt Monday go gym then swim,Facebook u no will power la Nid do squats,Wtf ur bday may la Noob I dun tink can la,Cheh Monday swim gym,U wan come ar Set
Ahh Dinner was fine Watching Vampire Diaries now Had your dinner yet,I am fine How s the rehearsal,Okay I am going out for dinner first Chat with you later k,Hey I sent you what I have filled in for the research plan Lookthru it think I have missed out on things And the references I didntwrite it in the correct way think we are supposed to put it in thecorrect way,Must write it that way Can I dont follow the proper way,Yeah The bibliography do we have to write it in the correct way,Ohh meeting So you arent going back home Doing research plan lor,Uh huh of cus You still got rehearsal
Lea nama benar ape,nvm if can later i jus go over to ya hse to take later in e nite also can heh,m always like tis pain u see worst den monthly cramps haha,its rainin here more shiok to slp man dun need to find things to do le la we r goin out vry soon go and slack for a while loh Hehe,Wow Say until like that wor win liao la Haha I mean when free la,M SG INTERESTED MSG ME,U in school tdy Want to have lunch,Want to come out for a drink now
I would be have to reach by DECIMAL,Ohh how s the rehearsal,Economical rice Got new tanks for my fishes,We did a westerb blot ah,Yeah like that it s enough But must write it down in the proper way,Yeah think so Going pioneer mall to have lunch Chat with you later k,Yeah that s the way it works The male will take care of the eggsafterwards and the female must be removed,Okay shall remove lor then Yeah wrap from time to time The malemust quickly get the eggs becus the female will eat the eggs
But we dont have to go for flag raising right,Yeah a little chilly On my bed gonna sleep You should too 8am tmr right,Yeah so no point in wasting tears over it,Okayokay but what s done is done lah,What time to assemble tmr,Eh what time to assemble tmr,Yeah see bout it tmr I love you too No more crying,Yeah okay up to you
Lol jk it was me,Ok its not ne its Joel swee lin,Only have short vids of them laughing lol,Joel took We walk around to video everyone s reaction,Jus now go out in subtlety a lot ppl laugh We took video dam joke,I have a lot Hope by 2moro gone,Hey can send me all articles Thks,Lol yh called ya
Yeap I emailed right,Hihi What should I wear there,Yo d My friends wanna go lkp this sat what time does the Indianstall sell prata,Haha it s the am dc,Hihi Can I trouble you to check if I m awake when you reach sch tmr Sorry There s no one in the room P,Oh dinner is fine I just got your message haha Call if youwant bah I did a very malu thing haha,I wanna cry I really did lose alot of hair,I feel like I just lost a significant amount of hair Home yet
Ok not ok also Bo bian No matter what I need to go at Pk and I doing now,Aiyo u just come lor,Rmb to buy m8 circlips lotsa them,Oei don t mia leh,Eh let us know when u coming,Moses Treat ah If no treat dowan la,Repairing of the heel rest layers cf vacuum pump,very early leh Shld take abt hr at most
Hey tmr night wanna eat tian ji zhou for dinner At kallang there,I haven asked will ask everyone later,Ok we tmr then eat I ll message the rest later,U go home first Hehe,Hey my lesson end at 6pm So we meeting for dinner,Oorh then see ya next time bah,If no tuition u wanna come,Thought u going u got something on that day
Lol I think I will wait at the bus stop,Lol Another guy Haha I mean if you know daniel what time offschool what time take bus and if he s going home straight afterclass,Haha jiu okay lo You got new discoveries mah lol,Haha just kidding lol It s fun to stalk people isnt it Haha,Of course Lol it may be your leh XD,Haha yup and remind me to collect my license from da post office too Heh,Haha okayyy Tmr cally s joining us for lunch too Haha she wantsprawn mee too,Haha im glad you can sense im joking You should go check out at simlim
Well I will if I want to It s fine wut,In front of a naked og that wont be able to exploit me with any nudephotos of myself,Uh huh it s fine Why not,No lah how do I bathe with such a snall dog Even then it s fine wut,Still working out Ohh it isn t green in color,Once or twice per week I think She gets dirty easily cus she likessleeping underneath beds and all that Oohhh okay I wanna see what s ahandsone terrapin,Yeah working out now Gotta give Minnie a bath afterwards I think itried World of Goo before,Yeah wont strain myself Ep only I dl the first season only Findsome easy games lor
Eh I cant take it I can only take it at 4th year den tie in with my fyp,Materials like I cleared my electives already combustionengine hard I wont do it yet,eg The other I not so sure,Ok thank you sir,Hi sir the pressure sensors will be coming this afternoon,Seriously should play more bball dam unfit whole body aching,I used to score highest in school in geog its more or less amemorizing subj Nv taken f n b4 but sure sounds a lot to rmb aswell Like I always say sci n maths don t require any memorizing getthem right then u have more time to dedicate to your weaker subjs Well its still hols so enjoy 1st,Which subject Maybe I can give advice Don t worry you still havemuch time for O levels being disappointed now means you are alreadyhaving the correct attitude
Sorry i made a mistake EF is typhoon,Are you ready now,how was the lab and what u going to treat me haha p,hello when will you come here,Oh ok Cya tm then,Why u always msg so late hehe How abt lunch tm,Hi gal so u stil wana meet,Are u free today
you got do tutorial,you finish yoru project,how are you today,I am not feeling well,I am going to sleep now,what time you want me to call you,t be like that,where you want to go
Hey check ur email I jus sent the distribution of slides Thks,Nxt stop simei U going out ar,Can t rem But is acuvue daily de Nxt nxt Mon gym,Lols I also buy alr Today can go collect But only wearing during sports,National day celebration Why swollen lol,Nxt nxt Mon u free,No fren to pei,I today end v late Going my fren hse 2moro morning den go home
Huh How u noe I din receive anythin leh,No la Other pple wld have slam e fone oredi haha at least u still entertain me,Oh I noe oredi Sci library u can print stuff,Hmmm I dunno leh Ur fst got no lab ur to use ah,We r on e right side,ll get it though,ll go and book seats I dun have lab oredi,s ur army life So which unit r u in
Haha icic Cannot imagine what is took much creativity haha Wow sorandom haha okay,Yeah I was blur and just woke up just now so also dunno what I wassaying I probably imagined things haha Haha so random is the placebig,Eh oops i m seeing things,Haha as in yx leh So how is Timothy Haha Sorry I fell asleep,Haha yx gets annoyed by alot of people ah hehe P he s funny though Oh people call him Elmo haha Ooo wow haha but its not the realthing,Haha yeah my bro is probably shooting looks of contempt at Timothynow haha Cool that s fast haha,Haha yeah we also split up,Ohh Haha yeah he is probably talking quite loudly now right haha
Yes aunty Eat already Very nice my mama also say nice,Hey Mr qin Sry can t join u all in the rehearsal by Notfeeling too well juz now Will u b free abt to,Dear I reach home le Hee Eat ur supper Muackss,Yes dear Will b careful,Hee Chou Chou I went to buy chicken cutlet Now waiting for bus Love u much,Haha Not last bus la Nw leaving school lir,Hmm plus then leaving school nvm ba Haha,Ooo I in nus nw
Sigh Dont think so lah Need to study leh,Going later wif mum Yun gone for exercise,Pending We r open ech other I told him im reali nt ready Dun wana tink so much live a dae as it cums I juz feel dat we cnt b 2gethr mayb i sensitv la,Yes So u just let me know when u want it K So r u going to bring more friends,Erm Friday free ma Want to meet for dinner ma Hehe,Any one wanna chat,ME BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT BOTH TRY CHEER UP NOT FIT SOO MUCHXX LOVE U LOCA,Want me to accompany u
Okay I walk down,Haha thanks alot D,Haha alright be careful on your way eh,Hey you still waiting for bus,Can can I replied to your email and sent it to kaixin and gilberttoo I hope to receive your good news,Nope not that early,Kaixin did not answer my call Gilbert says he will be busy withsports camp Wilson and I hope both of you could come back and helpthe club,Anything eh I just finish movie only
Haha Ya at ys now his hse,Eh inside also Haha,U got go home before going ys Can help me bring a set of clothes Haha,Hmmm u got wireless sg accnt I forgot my pw,So now he sleeping at which room I at je now Later go northpointbuy straw then coming over,Aunty weihao come out already,Hmm today and tmr u gt go ys If yes wat time,Now heading over from school Weihao still inside
Lols go up and find,Oh okay I find I aft tt,Oh u not going home Wat time can go Oo,After legs and paddles,Wat movie wat time where,Ps swimming Erm get back to u in awhile,My hse got direct bus go ramp take,Nvm la u stay lo My parents won t allow la
Aww oh well haha,Lol got facebook and year book,LOL now harrison is an action word already eh Haha no la probably Ican share with him the good ol times in bss and tell him some secret XD,Haha maybe I would meet him in ns instead XD,Haha he would join in together with me bah if that time comes Hestill have ns too,Haha how you know he at sim,Lol which glenn See Lol,Oh I mean used to be there lol Seee you will find more eventually
Haha sorry they are using my com to watch videos haha x x,Do you want me to do laundry for you I bought your cookies le,Haha I don t really dream Your dream was really funny haha LOL Iknow la Hahaha i m not a chem god x x very noob one x x haha luckyI ate with you two if not tonight no one to eat with,I m going out for dinner you want anything from wcp,I m going out for dinner you want anything from wcp,Okay Abbie will pass you,Np When do you need it,Ok hehe send to abbie s email can EMAIL
